ADM0_NAME,ADM1_NAME,date,variable,value
Ethiopia,Addis Ababa,2015-04,SMAP_RZSM,0.31008498169559096
Ethiopia,Afar,2015-04,SMAP_RZSM,0.1318073413591306
Ethiopia,Amhara,2015-04,SMAP_RZSM,0.18221454420711206
Ethiopia,Beneshangul Gumu,2015-04,SMAP_RZSM,0.2614676182010492
Ethiopia,Gambela,2015-04,SMAP_RZSM,0.24510852936525956
Ethiopia,Hareri,2015-04,SMAP_RZSM,0.1820998329987478
Ethiopia,Oromia,2015-04,SMAP_RZSM,0.22256581121362487
Ethiopia,SNNPR,2015-04,SMAP_RZSM,0.27325929120331754
Ethiopia,Tigray,2015-04,SMAP_RZSM,0.1669884812916541
South Sudan,El Buheyrat,2015-04,SMAP_RZSM,0.18855305361945202
South Sudan,Unity,2015-04,SMAP_RZSM,0.24456943698999953
South Sudan,Central Equatoria,2015-04,SMAP_RZSM,0.21059583638645044
South Sudan,Eastern Equatoria,2015-04,SMAP_RZSM,0.24664134329434284
South Sudan,Jonglei,2015-04,SMAP_RZSM,0.24839339342910954
South Sudan,Northern Bahr El Ghazal,2015-04,SMAP_RZSM,0.12310078901670433
South Sudan,Warab,2015-04,SMAP_RZSM,0.21879860707596682
South Sudan,Western Bahr El Ghazal,2015-04,SMAP_RZSM,0.13893324532747453
South Sudan,Western Equatoria,2015-04,SMAP_RZSM,0.18883422198930921
South Sudan,Upper Nile,2015-04,SMAP_RZSM,0.24256537921462865
Democratic Republic of the Congo,Maniema,2015-04,SMAP_RZSM,0.271149182153137
Democratic Republic of the Congo,Nord-Kivu,2015-04,SMAP_RZSM,0.3170132890651003
Democratic Republic of the Congo,Sud-Kivu,2015-04,SMAP_RZSM,0.38118985137490047
Ethiopia,Dire Dawa,2015-04,SMAP_RZSM,0.1635205003667921
Ethiopia,Somali,2015-04,SMAP_RZSM,0.16006529025389565
Rwanda,East/Iburasirazuba,2015-04,SMAP_RZSM,0.2688380963420603
Rwanda,Kigali City/Umujyi wa Kigali,2015-04,SMAP_RZSM,0.27674361693288496
Rwanda,North/Amajyaruguru,2015-04,SMAP_RZSM,0.3435902532545001
Rwanda,South/Amajyepfo,2015-04,SMAP_RZSM,0.2992289346131549
Rwanda,West/Iburengerazuba,2015-04,SMAP_RZSM,0.37593633256716213
Abyei,Administrative unit not available,2015-04,SMAP_RZSM,0.18611140109611565
Djibouti,Ali Sabieh,2015-04,SMAP_RZSM,0.12347891775482991
Djibouti,Dikhil,2015-04,SMAP_RZSM,0.12198660591950848
Djibouti,Djibouti,2015-04,SMAP_RZSM,0.11903518311618293
Djibouti,Obock,2015-04,SMAP_RZSM,0.1224107567994977
Djibouti,Tadjourah,2015-04,SMAP_RZSM,0.12221291729009601
Eritrea,Anseba,2015-04,SMAP_RZSM,0.13376938477013967
Eritrea,Archipelagos,2015-04,SMAP_RZSM,0.13911715993811105
Eritrea,Debub,2015-04,SMAP_RZSM,0.17698560616095987
Eritrea,Debubawi Keih Bahri,2015-04,SMAP_RZSM,0.12134703969577107
Eritrea,Gash Barka,2015-04,SMAP_RZSM,0.15144624068951373
Eritrea,Maekel,2015-04,SMAP_RZSM,0.16321255869978554
Eritrea,Semenawi Keih Bahri,2015-04,SMAP_RZSM,0.12776604034095768
Kenya,Central,2015-04,SMAP_RZSM,0.30521241264967497
Kenya,Coast,2015-04,SMAP_RZSM,0.18231507175623718
Kenya,Eastern,2015-04,SMAP_RZSM,0.19023292561478256
Kenya,Nairobi,2015-04,SMAP_RZSM,0.36252733644818735
Kenya,North Eastern,2015-04,SMAP_RZSM,0.16596840395853227
Kenya,Nyanza,2015-04,SMAP_RZSM,0.3287032197155256
Kenya,Rift Valley,2015-04,SMAP_RZSM,0.2053003994674581
Kenya,Western,2015-04,SMAP_RZSM,0.30705069253828005
Mozambique,Cabo Delgado,2015-04,SMAP_RZSM,0.18287795777948254
Malawi,Northern Region,2015-04,SMAP_RZSM,0.2428412350305402
Malawi,Area under National Administration,2015-04,SMAP_RZSM,0.23291544241049508
Zambia,Eastern,2015-04,SMAP_RZSM,0.2576346911521069
Zambia,Luapula,2015-04,SMAP_RZSM,0.3137060196800768
Zambia,North-Western,2015-04,SMAP_RZSM,0.12971923907654143
Zambia,Northern,2015-04,SMAP_RZSM,0.2609633677604862
Democratic Republic of the Congo,Equateur,2015-04,SMAP_RZSM,0.15450520430495793
Democratic Republic of the Congo,Kasai Occidental,2015-04,SMAP_RZSM,0.3833862329480561
Democratic Republic of the Congo,Kasai Oriental,2015-04,SMAP_RZSM,0.2707793231958595
Democratic Republic of the Congo,Katanga,2015-04,SMAP_RZSM,0.2828308775854985
Democratic Republic of the Congo,Orientale,2015-04,SMAP_RZSM,0.22058348210504014
Ilemi triangle,Administrative unit not available,2015-04,SMAP_RZSM,0.1579217884092159
United Republic of Tanzania,Arusha,2015-04,SMAP_RZSM,0.24842799191421935
United Republic of Tanzania,Manyara,2015-04,SMAP_RZSM,0.3022320788285933
United Republic of Tanzania,Geita,2015-04,SMAP_RZSM,0.2698826501198262
United Republic of Tanzania,Iringa,2015-04,SMAP_RZSM,0.3248807448412439
United Republic of Tanzania,Kagera,2015-04,SMAP_RZSM,0.25525176596953303
United Republic of Tanzania,Katavi,2015-04,SMAP_RZSM,0.24675191001589705
United Republic of Tanzania,Mwanza,2015-04,SMAP_RZSM,0.3126142691803524
United Republic of Tanzania,Njombe,2015-04,SMAP_RZSM,0.3556694464841349
United Republic of Tanzania,Rukwa,2015-04,SMAP_RZSM,0.30386576224975365
United Republic of Tanzania,Shinyanga,2015-04,SMAP_RZSM,0.28764959363669396
United Republic of Tanzania,Simiyu,2015-04,SMAP_RZSM,0.28936674436930176
United Republic of Tanzania,Dar-es-salaam,2015-04,SMAP_RZSM,0.17524307656594873
United Republic of Tanzania,Dodoma,2015-04,SMAP_RZSM,0.25921705716286564
United Republic of Tanzania,Kaskazini Pemba,2015-04,SMAP_RZSM,0.14707306867614037
United Republic of Tanzania,Kaskazini Unguja,2015-04,SMAP_RZSM,0.1601392179766199
United Republic of Tanzania,Kigoma,2015-04,SMAP_RZSM,0.2907400155800482
United Republic of Tanzania,Kilimanjaro,2015-04,SMAP_RZSM,0.3311716785631496
United Republic of Tanzania,Kusini Pemba,2015-04,SMAP_RZSM,0.14676010216786778
United Republic of Tanzania,Kusini Unguja,2015-04,SMAP_RZSM,0.13029647558511154
United Republic of Tanzania,Lindi,2015-04,SMAP_RZSM,0.2512209864616995
United Republic of Tanzania,Mara,2015-04,SMAP_RZSM,0.3388240823474515
United Republic of Tanzania,Mbeya,2015-04,SMAP_RZSM,0.26037365434751664
United Republic of Tanzania,Mjini Magharibi,2015-04,SMAP_RZSM,0.18045566106586147
United Republic of Tanzania,Morogoro,2015-04,SMAP_RZSM,0.28346551175384166
United Republic of Tanzania,Mtwara,2015-04,SMAP_RZSM,0.285169955852138
United Republic of Tanzania,Pwani,2015-04,SMAP_RZSM,0.22704321219996204
United Republic of Tanzania,Ruvuma,2015-04,SMAP_RZSM,0.30026140837951415
United Republic of Tanzania,Singida,2015-04,SMAP_RZSM,0.24490395137586024
United Republic of Tanzania,Tabora,2015-04,SMAP_RZSM,0.26734021996605833
United Republic of Tanzania,Tanga,2015-04,SMAP_RZSM,0.24183262080739065
Sudan,Al Jazeera,2015-04,SMAP_RZSM,0.21512290571467121
Sudan,Blue Nile,2015-04,SMAP_RZSM,0.23384713384953537
Sudan,Northern,2015-04,SMAP_RZSM,0.037309045255907856
Sudan,Northern Darfur,2015-04,SMAP_RZSM,0.04394301224302002
Sudan,Nile,2015-04,SMAP_RZSM,0.1072175526556501
Sudan,Sennar,2015-04,SMAP_RZSM,0.23100956156166624
Sudan,Southern Darfur,2015-04,SMAP_RZSM,0.06546698367489912
Sudan,Western Darfur,2015-04,SMAP_RZSM,0.1117418601315439
Sudan,White Nile,2015-04,SMAP_RZSM,0.145833842641303
Sudan,Red Sea,2015-04,SMAP_RZSM,0.11421571942372233
Sudan,Kassala,2015-04,SMAP_RZSM,0.16712397581103938
Sudan,Northern Kordofan,2015-04,SMAP_RZSM,0.06215744507360575
Sudan,Gadaref,2015-04,SMAP_RZSM,0.2184460301715801
Sudan,Southern Kordofan,2015-04,SMAP_RZSM,0.1708136191547976
Sudan,Khartoum,2015-04,SMAP_RZSM,0.1250430222768462
Angola,Lunda Norte,2015-04,SMAP_RZSM,0.30245187451403205
Angola,Lunda Sul,2015-04,SMAP_RZSM,0.1421059130866015
Angola,Moxico,2015-04,SMAP_RZSM,0.10477940197052185
Yemen,Amanat Al Asimah,2015-04,SMAP_RZSM,0.1312522532076957
Yemen,Hadramaut,2015-04,SMAP_RZSM,0.05247669544215278
Yemen,Aden,2015-04,SMAP_RZSM,0.04563673099445555
Yemen,Raymah,2015-04,SMAP_RZSM,0.11512382591053696
Yemen,Sana'a,2015-04,SMAP_RZSM,0.1189038602333004
Yemen,Abyan,2015-04,SMAP_RZSM,0.09696648658660044
Yemen,Al Bayda,2015-04,SMAP_RZSM,0.13258988842797859
Yemen,Al Dhale'e,2015-04,SMAP_RZSM,0.1372738292873076
Yemen,Al Hudaydah,2015-04,SMAP_RZSM,0.050062171320419874
Yemen,Al Jawf,2015-04,SMAP_RZSM,0.0591510981816618
Yemen,Al Maharah,2015-04,SMAP_RZSM,0.07096257770706331
Yemen,Al Mahwit,2015-04,SMAP_RZSM,0.13150174928433445
Yemen,Amran,2015-04,SMAP_RZSM,0.08313119904850147
Yemen,Dhamar,2015-04,SMAP_RZSM,0.1310488947428764
Yemen,Hajjah,2015-04,SMAP_RZSM,0.1022331627861057
Yemen,Ibb,2015-04,SMAP_RZSM,0.14024482775201152
Yemen,Lahj,2015-04,SMAP_RZSM,0.0749657677091671
Yemen,Marib,2015-04,SMAP_RZSM,0.07111438155955115
Yemen,Sa'ada,2015-04,SMAP_RZSM,0.10098973345621953
Yemen,Shabwah,2015-04,SMAP_RZSM,0.05786614636516603
Yemen,Taizz,2015-04,SMAP_RZSM,0.09061361865517849
Burundi,Bujumbura Mairie,2015-04,SMAP_RZSM,0.29185759788709326
Burundi,Bujumbura Rural,2015-04,SMAP_RZSM,0.31256283973403
Burundi,Muramvya,2015-04,SMAP_RZSM,0.3422701156324585
Burundi,Mwaro,2015-04,SMAP_RZSM,0.35539722745093183
Burundi,Bubanza,2015-04,SMAP_RZSM,0.2650514136800963
Burundi,Bururi,2015-04,SMAP_RZSM,0.3428296743611307
Burundi,Cankuzo,2015-04,SMAP_RZSM,0.29826209001183157
Burundi,Cibitoke,2015-04,SMAP_RZSM,0.3023175597371586
Burundi,Gitega,2015-04,SMAP_RZSM,0.3472198060652733
Burundi,Karuzi,2015-04,SMAP_RZSM,0.3041397103102574
Burundi,Kayanza,2015-04,SMAP_RZSM,0.32978763053105564
Burundi,Kirundo,2015-04,SMAP_RZSM,0.2996429961665811
Burundi,Makamba,2015-04,SMAP_RZSM,0.35946870559133226
